ID;GERMAN;ENGLISH
1302;Aussehen;looks
1303;Schönheit;beauty
1304;Unterschied;difference
1305;Identität;identity
1306;Eindruck;impression
1307;Ausdruck;expression
1308;Wichtigkeit;importance
1309;Glück (Zufall);luck
1310;Glück (Gefühl);happiness
1311;Persönlichkeit;personality
1312;Vorteil;advantage
